time,position,velocity,acceleration
0.000000000000000000e+00,0.000000000000000000e+00,9.901899999999999036e-01,-9.810000000000096421e-02
1.000000000000000056e-01,9.901899999999999591e-02,9.803799999999998072e-01,-9.810000000000093645e-02
2.000000000000000111e-01,1.970569999999999822e-01,9.705699999999997107e-01,-9.809999999999544085e-02
3.000000000000000444e-01,2.941139999999999866e-01,9.607600000000001694e-01,-9.810000000000099196e-02
4.000000000000000222e-01,3.901899999999999813e-01,9.509500000000000730e-01,-9.810000000000643205e-02
5.000000000000000000e-01,4.852849999999999664e-01,9.411399999999994215e-01,-9.810000000000099196e-02
6.000000000000000888e-01,5.793989999999999974e-01,9.313299999999993251e-01,-9.809999999998988973e-02
7.000000000000000666e-01,6.725319999999999077e-01,9.215200000000003389e-01,-9.810000000000099196e-02
8.000000000000000444e-01,7.646839999999999193e-01,9.117100000000002424e-01,-9.810000000000099196e-02
9.000000000000000222e-01,8.558549999999999214e-01,9.019000000000001460e-01,-9.810000000001087295e-02
1.000000000000000000e+00,9.460449999999999138e-01,8.920899999999990504e-01,-9.810000000000088094e-02
1.100000000000000089e+00,1.035253999999999897e+00,8.822799999999989540e-01,-9.809999999999331755e-02
1.200000000000000178e+00,1.123481999999999870e+00,8.724699999999996347e-01,-9.810000000000865250e-02
1.300000000000000044e+00,1.210728999999999722e+00,8.626599999999987611e-01,-9.809999999999331755e-02
1.400000000000000133e+00,1.296994999999999676e+00,8.528499999999994419e-01,-9.810000000000865250e-02
1.500000000000000000e+00,1.382279999999999509e+00,8.430399999999985683e-01,-9.810000000001198317e-02
1.600000000000000089e+00,1.466583999999999444e+00,8.332299999999973616e-01,-9.809999999997111308e-02
1.700000000000000178e+00,1.549906999999999258e+00,8.234200000000002628e-01,-9.810000000000865250e-02
1.800000000000000044e+00,1.632248999999999173e+00,8.136099999999993893e-01,-9.809999999999331755e-02
1.900000000000000133e+00,1.713609999999999189e+00,8.038000000000000700e-01,-9.810000000000754228e-02
2.000000000000000000e+00,1.793989999999999085e+00,7.939899999999993074e-01,-9.810000000001198317e-02
2.100000000000000089e+00,1.873388999999999083e+00,7.841799999999981008e-01,-9.809999999998977871e-02
2.200000000000000178e+00,1.951806999999998959e+00,7.743699999999991146e-01,-9.810000000001198317e-02
2.300000000000000266e+00,2.029243999999998938e+00,7.645599999999979079e-01,-9.809999999995690223e-02
2.400000000000000355e+00,2.105699999999998795e+00,7.547500000000022524e-01,-9.810000000002308540e-02
2.500000000000000000e+00,2.181174999999998754e+00,7.449399999999999356e-01,-9.810000000003418763e-02
2.600000000000000089e+00,2.255668999999998814e+00,7.351299999999965085e-01,-9.809999999998977871e-02
2.700000000000000178e+00,2.329181999999998531e+00,7.253199999999975223e-01,-9.809999999998977871e-02
2.800000000000000266e+00,2.401713999999998350e+00,7.155099999999985361e-01,-9.809999999995801245e-02
2.900000000000000355e+00,2.473264999999998270e+00,7.057000000000027695e-01,-9.810000000002197518e-02
3.000000000000000000e+00,2.543834999999998292e+00,6.958900000000005637e-01,-9.810000000003307741e-02
3.100000000000000089e+00,2.613423999999998415e+00,6.860799999999972476e-01,-9.809999999998977871e-02
3.200000000000000178e+00,2.682031999999998195e+00,6.762699999999982614e-01,-9.809999999998977871e-02
3.300000000000000266e+00,2.749658999999998077e+00,6.664599999999992752e-01,-9.809999999996134312e-02
3.400000000000000355e+00,2.816304999999998060e+00,6.566500000000031756e-01,-9.810000000006305343e-02
3.500000000000000000e+00,2.881969999999998144e+00,6.468399999999968619e-01,-9.809999999998977871e-02
3.600000000000000089e+00,2.946653999999997886e+00,6.370299999999978757e-01,-9.809999999998977871e-02
3.700000000000000178e+00,3.010356999999997729e+00,6.272199999999988895e-01,-9.809999999998977871e-02
3.800000000000000266e+00,3.073078999999997674e+00,6.174099999999999033e-01,-9.809999999996356357e-02
3.900000000000000355e+00,3.134819999999997719e+00,6.076000000000035817e-01,-9.810000000008703425e-02
4.000000000000000000e+00,3.195579999999997867e+00,5.977899999999948255e-01,-9.809999999993691822e-02
4.100000000000000533e+00,3.255358999999997671e+00,5.879800000000011684e-01,-9.809999999999020892e-02
4.200000000000000178e+00,3.314156999999997577e+00,5.781700000000021822e-01,-9.810000000004040488e-02
4.299999999999999822e+00,3.371973999999997584e+00,5.683599999999980890e-01,-9.809999999994024888e-02
4.400000000000000355e+00,3.428809999999997693e+00,5.585500000000040988e-01,-9.810000000008259335e-02
4.500000000000000000e+00,3.484664999999997903e+00,5.487399999999957867e-01,-9.809999999994246933e-02
4.600000000000000533e+00,3.539538999999997770e+00,5.389300000000015745e-01,-9.810000000003596399e-02
4.700000000000000178e+00,3.593431999999997739e+00,5.291199999999979253e-01,-9.809999999994357955e-02
4.800000000000000711e+00,3.646343999999997809e+00,5.193100000000036021e-01,-9.810000000003572806e-02
4.900000000000000355e+00,3.698274999999997981e+00,5.095000000000000639e-01,-9.810000000003374354e-02
5.000000000000000000e+00,3.749224999999997809e+00,4.996899999999966369e-01,-9.809999999994635511e-02
5.100000000000000533e+00,3.799193999999997740e+00,4.898800000000020360e-01,-9.810000000003207821e-02
5.200000000000000178e+00,3.848181999999997771e+00,4.800699999999987755e-01,-9.809999999994802045e-02
5.300000000000000711e+00,3.896188999999997904e+00,4.702600000000040081e-01,-9.810000000003517295e-02
